id,thai_name,english_name,scientific_name,class,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
11,เก้งเผือก,Albino Barking Deer,Muntiacus muntjak (Albino),Mammalia,Artiodactyla,Cervidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",เก้งลักษณะเผือกล้วนพันธุกรรมหายาก เป็นจุดสนใจของสวนสัตว์สงขลา
12,ไก่ฟ้าสีทอง,Golden Pheasant,Chrysolophus pictus,Aves,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",'นกฟีนิกซ์ตัวจริง' ตัวผู้สีสันสดใส หงอนสีทอง แผงคอสีส้มลายดำ สวยงามมาก
13,ควายป่า,Wild Water Buffalo,Bubalus arnee,Mammalia,Artiodactyla,Bovidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, เขตรักษาพันธุ์สัตว์ป่าห้วยขาแข้ง",สัตว์ป่าสงวนของไทย วงเขากว้างที่สุดในบรรดาสัตว์ตระกูลวัวควาย
14,ค่างแว่นถิ่นใต้,Dusky Leaf Monkey,Trachypithecus obscurus,Mammalia,Primates,Cercopithecidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, อ่าวมะนาว ประจวบคีรีขันธ์",มีวงกลมขาวรอบดวงตาคล้ายสวมแว่นตา ลูกแรกเกิดสีส้มทองสดใส
15,ค่างห้าสี,Red-shanked Douc Langur,Pygathrix nemaeus,Mammalia,Primates,Cercopithecidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์ดุสิต (เดิม), สวนสัตว์นครราชสีมา",'ราชินีแห่งค่าง' สีสันสดใสสวยงามที่สุด ขาสีแดง ปลอกแขนขาว หน้าส้ม หางขาว
16,คาปิบารา,Capybara,Hydrochoerus hydrochaeris,Mammalia,Rodentia,Caviidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์ขอนแก่น, ซาฟารีเวิลด์",สัตว์ฟันแทะใหญ่ที่สุดในโลก เชื่องและเป็นมิตรกับสัตว์ทุกชนิด ยอดนิยมมาก
17,โคอาลา,Koala,Phascolarctos cinereus,Mammalia,Diprotodontia,Phascolarctidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว",สัตว์สัญลักษณ์ออสเตรเลีย กินใบยูคาลิปตัส นอนหลับวันละ 18-20 ชม.
18,งูจงอาง,King Cobra,Ophiophagus hannah,Reptilia,Squamata,Elapidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น, หมู่บ้านงูจงอาง ขอนแก่น",งูพิษที่ยาวที่สุดในโลก แผ่แม่เบี้ยได้สูง กินงูชนิดอื่นเป็นอาหารหลัก
19,งูหลามทอง / งูหลามพม่า,Burmese Python (Albino),Python bivittatus,Reptilia,Squamata,Pythonidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์เชียงใหม่",งูหลามสายพันธุ์เผือกสีเหลืองทอง ยอดนิยมในโซนถ่ายรูปคู่กับนักท่องเที่ยว
20,งูเหลือม,Reticulated Python,Malayopython reticulatus,Reptilia,Squamata,Pythonidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา",งูที่ยาวที่สุดในโลก ลายตาข่ายเรขาคณิต เลื้อยว่ายน้ำและปีนต้นไม้ได้อย่างคล่องแคล่ว
21,งูเห่าไทย,Indochinese Spitting Cobra / Monocled Cobra,Naja kaouthia,Reptilia,Squamata,Elapidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนงู สถานเสาวภา, สวนสัตว์นครราชสีมา",แผ่แม่เบี้ยมีลวดลายดอกจันรูปวงกลมเดี่ยว พิษทำลายระบบประสาทรุนแรง
22,งูอนาคอนดาเขียว,Green Anaconda,Eunectes murinus,Reptilia,Squamata,Boidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์ (มารีนปาร์ค), สวนสัตว์เปิดเขาเขียว",งูที่มีน้ำหนักตัวมากที่สุดในโลกจากป่าแอมะซอน ซุ่มล่าเหยื่อใต้น้ำ
23,จระเข้น้ำเค็ม,Saltwater Crocodile,Crocodylus porosus,Reptilia,Crocodilia,Crocodylidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC / CR ในไทย,"สวนสัตว์เปิดเขาเขียว, ฟาร์มจระเข้สมุทรปราการ, สวนสัตว์สงขลา",สัตว์เลื้อยคลานขนาดใหญ่ที่สุดในโลก กรามทรงพลังที่สุด ว่ายน้ำทะเลได้ไกล
24,จระเข้น้ำจืดพันธุ์ไทย,Siamese Crocodile,Crocodylus siamensis,Reptilia,Crocodilia,Crocodylidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่, บึงบอระเพ็ด",สัตว์ป่าสงวน/คุ้มครอง หายากมากในธรรมชาติ สวนสัตว์ไทยเพาะพันธุ์คืนธรรมชาติสำเร็จ
25,จิงโจ้แดง,Red Kangaroo,Osphranter rufus,Mammalia,Diprotodontia,Macropodidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",สัตว์มีกระเป๋าหน้าท้องขนาดใหญ่ที่สุดในโลก กระโดดได้ไกลและเร็ว
26,ชะนีมือขาว,Lar Gibbon,Hylobates lar,Mammalia,Primates,Hylobatidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",มือและเท้าสีขาว มีวงหน้าขาว โหนกิ่งไม้คล่องแคล่ว ร้องเพลงก้องกังวาน
27,ช้างเอเชีย,Asian Elephant,Elephas maximus,Mammalia,Proboscidea,Elephantidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, โครงการคชอาณาจักร สุรินทร์, ซาฟารีเวิลด์",สัตว์บกขนาดใหญ่ที่สุดในไทย สัตว์สัญลักษณ์ประจำชาติ มีการแสดงว่ายน้ำที่เขาเขียว
28,เซียมัง / ชะนีดำใหญ่,Siamang,Symphalangus syndactylus,Mammalia,Primates,Hylobatidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",ชะนีขนาดใหญ่ที่สุดในโลก ขนดำสนิท ถุงคอพองลมขยายเสียงร้องได้ไกล
29,ตะกวด,Clouded Monitor,Varanus nebulosus,Reptilia,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",จมูกอยู่ใกล้ดวงตา ปรับตัวอาศัยตามต้นไม้และป่าโปร่งได้ดีกว่าตัวเงินตัวทอง
30,ตะโขง,Tomistoma / False Gharial,Tomistoma schlegelii,Reptilia,Crocodilia,Gavialidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",จะงอยปากแคบเรียวยาวเป็นพิเศษ เชี่ยวชาญการจับปลา อาศัยตามป่าพรุภาคใต้
31,ตะพาบม่านลายไทย,Nutaphand's Narrow-headed Softshell Turtle,Chitra chitra,Reptilia,Testudines,Trionychidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สถานีวิจัยประมงน้ำจืดกาญจนบุรี",ตะพาบน้ำจืดขนาดใหญ่ที่สุดในโลก หนักได้กว่า 100 กก. กระดองนิ่มลายม่านสวยงาม
32,ตัวกินมดยักษ์,Giant Anteater,Myrmecophaga tridactyla,Mammalia,Pilosa,Myrmecophagidae,สัตว์เลี้ยงลูกด้วยนม,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์นครราชสีมา",ปากท่อยาว ไม่มีฟัน ลิ้นยาวเหนียวตวัดกินมดปลวก หางเป็นพวงหนาใหญ่
33,ตัวเงินตัวทอง / เหี้ย,Asian Water Monitor,Varanus salvator,Reptilia,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์ดุสิต (เดิม), สวนสัตว์สงขลา",สัตว์เลื้อยคลานขนาดใหญ่อันดับสองรองจากมังกรโคโมโด ว่ายน้ำและดำน้ำเก่งมาก
34,เต่าซูลคาตา / เต่าเดือยแอฟริกา,African Spurred Tortoise (Sulcata),Centrochelys sulcata,Reptilia,Testudines,Testudinidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์ขอนแก่น, สวนสัตว์อุบลราชธานี",เต่าบกกระดองลายสวย มีเดือยแหลมที่ขาหลัง ชอบเดินตากแดดและกินหญ้า
35,เต่ายักษ์อัลดาบรา,Aldabra Giant Tortoise,Aldabrachelys gigantea,Reptilia,Testudines,Testudinidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",เต่าบกขนาดใหญ่อันดับสองของโลก อายุยืนเกิน 100 ปี หนักได้ถึง 250 กก.
36,เต่าหกเหลือง,Asian Giant Tortoise,Manouria emys,Reptilia,Testudines,Testudinidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา",เต่าบกขนาดใหญ่ที่สุดในเอเชีย อาศัยตามป่าดงดิบชื้น ทำรังวางไข่แบบก่อรังคล้ายนก
37,นกกก / นกกาฮัง,Great Hornbill,Buceros bicornis,Aves,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",นกเงือกขนาดใหญ่ที่สุดในไทย โหนกบนจะงอยปากสีเหลืองทอง เสียงบินกระพือปีกดังก้อง
38,นกกระจอกเทศ,Common Ostrich,Struthio camelus,Aves,Struthioniformes,Struthionidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์, สวนสัตว์ขอนแก่น",นกขนาดใหญ่ที่สุดในโลก บินไม่ได้แต่วิ่งเร็วถึง 70 กม./ชม. ไข่ขนาดใหญ่ที่สุด
39,นกกระทุง,Spot-billed Pelican,Pelecanus philippensis,Aves,Pelecaniformes,Pelecanidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา, ซาฟารีเวิลด์",ถุงใต้คอยืดหยุ่นขนาดใหญ่ ใช้ช้อนตักปลาในน้ำได้อย่างแม่นยำ
40,นกกระเรียนพันธุ์ไทย,Eastern Sarus Crane,Antigone antigone sharpii,Aves,Gruiformes,Gruidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU / CR ในไทย,"สวนสัตว์นครราชสีมา, เขตห้ามล่าสัตว์ป่าอ่างเก็บน้ำห้วยจระเข้มาก บุรีรัมย์",สัตว์ป่าสงวนของไทย เคยสูญพันธุ์จากป่าธรรมชาติ โคราชเพาะพันธุ์ปล่อยคืนสำเร็จ
41,นกกาบบัว,Painted Stork,Mycteria leucocephala,Aves,Ciconiiformes,Ciconiidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",นกกระสาตัวใหญ่ ปลายปีกแต้มสีชมพูคล้ายกลีบดอกบัว หากินตามบึงน้ำ
42,นกแก๊ก,Oriental Pied Hornbill,Anthracoceros albirostris,Aves,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่",นกเงือกขนาดเล็กที่สุด พบบ่อยที่สุด เลี้ยงง่ายและเชื่องมากในกรงนกใหญ่เขาเขียว
43,นกแก้วมาคอว์สีน้ำเงิน-ทอง,Blue-and-yellow Macaw,Ara ararauna,Aves,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",นกแก้วอเมริกาใต้ยอดนิยม ฉลาด เลียนเสียงพูดได้ มีโชว์นกแสนรู้ที่ซาฟารีเวิลด์
44,นกแก้วสการ์เล็ตมาคอว์,Scarlet Macaw,Ara macao,Aves,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",สีสันสดใส แดง เหลือง น้ำเงิน จะงอยปากแข็งแรงขบเมล็ดพืชเปลือกแข็งได้
45,นกคาสโซวารีใต้,Southern Cassowary,Casuarius casuarius,Aves,Casuariiformes,Casuariidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",'นกที่อันตรายที่สุดในโลก' บนหัวมีหงอนกระดูก กรงเล็บนิ้วเท้าแหลมคมยาวคล้ายกริช
46,นกเค้าแมวหิมะ,Snowy Owl,Bubo scandiacus,Aves,Strigiformes,Strigidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),สวนสัตว์เชียงใหม่ (โซนเมืองหิมะ/สัตว์เขตหนาว),นกเค้าแมวสีขาวล้วนจากเขตอาร์กติก ตาโตสีเหลืองสดใส บินเงียบกริบ
47,นกเงือกกรามช้าง,Wreathed Hornbill,Rhyticeros undulatus,Aves,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา",โหนกเป็นรอยหยักคล้ายฟันกรามช้าง ถุงใต้คอตัวผู้สีเหลืองสด ตัวเมียสีฟ้าคราม
48,นกเงือกหัวหงอก,White-crowned Hornbill,Berenicornis comatus,Aves,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",นกเงือกหายาก บนหัวมีหงอนขนสีขาวฟูตั้งชัน กินสัตว์เลื้อยคลานและแมลงเป็นหลัก
49,นกตะกราม,Greater Adjutant,Leptoptilos dubius,Aves,Ciconiiformes,Ciconiidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สถานีเพาะเลี้ยงสัตว์ป่าบางละมุง",นกกระสาขนาดยักษ์ หัวล้าน ถุงลมใต้คอยาว หายากมากในธรรมชาติไทย
50,นกทูแคนอกขาว,White-throated Toucan,Ramphastos tucanus,Aves,Piciformes,Ramphastidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, เชียงใหม่ไนท์ซาฟารี",ปากยาวใหญ่สีสันสดใส แต่น้ำหนักเบาเพราะมีโครงสร้างคล้ายรังผึ้งภายใน
51,นกเป็ดน้ำแมนดาริน,Mandarin Duck,Aix galericulata,Aves,Anseriformes,Anatidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",เป็ดน้ำสีสันสวยงามที่สุดในโลก สัญลักษณ์แห่งความรักและความซื่อสัตย์
52,นกเพนกวินฮัมโบลด์,Humboldt Penguin,Spheniscus humboldti,Aves,Sphenisciformes,Spheniscidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",ดาวเด่นโชว์พาเหรดเพนกวินเดินเตาะแตะยอดนิยมทั้งที่เขาเขียวและเชียงใหม่
53,นกฟลามิงโกใหญ่,Greater Flamingo,Phoenicopterus roseus,Aves,Phoenicopteriformes,Phoenicopteridae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",นกขายาวขนสีชมพู ยืนขาเดียวพักผ่อน มีกรงจัดแสดงขนาดใหญ่ในแทบทุกสวนสัตว์
54,นกยูงไทย,Green Peafowl,Pavo muticus,Aves,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, เขตรักษาพันธุ์สัตว์ป่าเวียงลอ",หงอนบนหัวเป็นพู่ตั้งตรง แพนหางยาวแผ่รำแพนสวยงาม หายากกว่านกยูงอินเดีย
55,นกยูงอินเดีย,Indian Peafowl,Pavo cristatus,Aves,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",คอสีน้ำเงินเหลือบเงา หงอนรูปพัด เดินอิสระตามลานในสวนสัตว์เปิดเขาเขียว
56,นกอินทรีทะเลหัวขาว / อินทรีหัวล้าน,Bald Eagle,Haliaeetus leucocephalus,Aves,Accipitriformes,Accipitridae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",นกสัญลักษณ์ประจำชาติสหรัฐอเมริกา หัวและหางขาว ลำตัวสีน้ำตาลเข้ม กรงเล็บทรงพลัง
57,นกอีมู,Emu,Dromaius novaehollandiae,Aves,Casuariiformes,Casuariidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",นกบินไม่ได้ขนาดใหญ่อันดับสองของโลกจากออสเตรเลีย นิสัยอยากรู้อยากเห็น
