id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
11,กบลูกศรพิษลายแถบเหลือง,Yellow-banded Poison Dart Frog,Dendrobates leucomelas,Anura,Dendrobatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ลวดลายแถบสีเหลืองสลับดำเด่นชัด ชอบความชื้นสูง เป็นสัญลักษณ์เตือนภัยผู้ล่า (Aposematism)
12,กบลูกศรพิษสตรอว์เบอร์รี,Strawberry Poison Frog,Oophaga pumilio,Anura,Dendrobatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ตัวสีแดงสดคล้ายผลสตรอว์เบอร์รี ขาสีน้ำเงินเข้ม แม่กบจะแบกลูกอ๊อดขึ้นไปวางในซอกใบสับปะรดสีแล้วไข่ที่ไม่ออกลูกให้เป็นอาหาร
13,กบลูกศรพิษสีทอง,Golden Poison Frog,Phyllobates terribilis,Anura,Dendrobatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",หนึ่งในสัตว์มีพิษร้ายแรงที่สุดในโลก ผิวหนังตัวเดียวมีพิษบาตราโคท็อกซินพอสังหารมนุษย์ได้ถึง 10-20 คน
14,กบลูกศรพิษสีน้ำเงิน,Blue Poison Dart Frog,Dendrobates tinctorius azureus,Anura,Dendrobatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว (โซนสัตว์แปลก), ซาฟารีเวิลด์",กบสีน้ำเงินสดแต้มจุดดำจากซูรินาม ในธรรมชาติมีพิษร้ายแรงถึงตาย แต่ในกรงเลี้ยงไร้พิษเพราะอาหารเปลี่ยน
15,กบเล็บแอฟริกัน,African Clawed Frog,Xenopus laevis,Anura,Pipidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"พิพิธภัณฑ์สัตว์น้ำ ม.บูรพา, สวนสัตว์เปิดเขาเขียว",กบที่อาศัยในน้ำตลอดชีวิต ไม่มีลิ้น นิ้วเท้าหลังมีเล็บแข็งสีดำ ใช้ช่วยฉีกเหยื่อ นิยมใช้ในงานวิจัยทางพันธุศาสตร์
16,กบหนอง,Cricket Frog / Asian Cricket Frog,Fejervarya limnocharis,Anura,Dicroglossidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",กบขนาดเล็กผิวหนังขรุขระ ร้องเสียงแหลมรัวคล้ายจิ้งหรีด พบได้ทั่วไปตามทุ่งนาและหนองน้ำ
17,กบแอฟริกันบูลฟร็อก / พิกซี่ฟร็อก,African Bullfrog (Pixie Frog),Pyxicephalus adspersus,Anura,Pyxicephalidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",กบยักษ์จากแอฟริกา ตัวผู้หนักได้ถึง 1.5-2 กก. มีสันฟันแหลมคมคล้ายเขี้ยวในปาก ตัวผู้ทำหน้าที่เฝ้าดูลูกอ๊อด
18,กบฮอร์นฟร็อกแอมะซอน,Amazonian Horned Frog,Ceratophrys cornuta,Anura,Ceratophryidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",ติ่งเขาเหนือตายาวแหลมชัดเจน ลายพรางคล้ายใบไม้แห้ง กัดเหยื่อด้วยแรงกรามมหาศาล
19,กะท่างน้ำดอยช้าง / กะท่างน้ำเหนือ,Chiang Mai Newt (Himalayan Newt),Tylototriton uyenoi,Caudata,Salamandridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC / หายากในไทย,"สวนสัตว์เชียงใหม่, ดอยอินทนนท์, ดอยสุเทพ-ปุย, ดอยช้าง เชียงราย",สัตว์สะเทินน้ำสะเทินบกมีหาง (กะท่าง/ซาลาแมนเดอร์) ประจำถิ่นภูเขาสูงภาคเหนือของไทย ลำตัวสีดำแต้มส้ม
20,กะท่างน้ำดอยอินทนนท์ / กะท่างปันไฮ,Panha's Crocodile Newt,Tylototriton panhai,Caudata,Salamandridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC / หายากในไทย,"สวนสัตว์เชียงใหม่, อุทยานแห่งชาติดอยอินทนนท์ เชียงใหม่, ภูหินร่องกล้า",สัตว์สะเทินน้ำสะเทินบกมีหางชนิดใหม่ของไทย มีแนวสันกระดูกนูนข้างลำตัวสีส้มอมน้ำตาล วางไข่ตามแอ่งน้ำบนภูเขาสูง
21,เขียดงูเกาะเต่า,Koh Tao Island Caecilian,Ichthyophis kohtaoensis,Gymnophiona,Ichthyophiidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),สวนสัตว์เปิดเขาเขียว (นิทรรศการสัตว์เลื้อยคลานและสัตว์สะเทินน้ำสะเทินบก),สัตว์สะเทินน้ำสะเทินบกไร้รยางค์ ลำตัวเรียวยาวเป็นปล้องคล้ายไส้เดือน มีแถบสีเหลืองข้างลำตัว มุดดินหาแมลงกิน
22,เขียดจะนา / เขียดทราย,Floating Frog / Ricefield Frog,Occidozyga lima,Anura,Dicroglossidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์ขอนแก่น",ชอบลอยตัวโผล่เฉพาะดวงตาและจมูกเหนือน้ำ ลำตัวตะปุ่มตะป่ำคล้ายโคลน ว่องไวมากในน้ำตื้น
23,เขียดบัว,Common Green Frog / Green Paddy Frog,Hylarana erythraea,Anura,Ranidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",หลังสีเขียวสด มีแถบสีครีมพาดขนานตามลำตัว อาศัยเกาะตามใบบัวและพืชน้ำในบึง
24,คางคกบ้าน,Asian Common Toad / Black-spectacled Toad,Duttaphrynus melanostictus,Anura,Bufonidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",คางคกที่พบได้บ่อยที่สุดในไทย มีสันสันกระดูกสีดำเหนือดวงตา ผิวหนังเป็นปุ่มตุ่มหนาม มีต่อมน้ำพิษข้างแก้ม
25,คางคกยักษ์เคนโทด,Cane Toad,Rhinella marina,Anura,Bufonidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",คางคกขนาดยักษ์จากอเมริกากลางและใต้ มีต่อมพาโรทอยด์ขนาดใหญ่หลังตาผลิตพิษบูโฟท็อกซินรุนแรง
26,คางคกหงอนไฟตะวันออก,Oriental Fire-bellied Toad,Bombina orientalis,Anura,Bombinatoridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว",หลังสีเขียวลายดำ แต่ใต้ท้องมีสีส้มแดงสดพร้อมจุดดำ เมื่อตกใจจะหงายท้องแอ่นตัวโชว์สีเตือนภัยผู้ล่า (Unkenreflex)
27,ซาลาแมนเดอร์ไฟยุโรป,European Fire Salamander,Salamandra salamandra,Caudata,Salamandridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว",ซาลาแมนเดอร์บกสีดำมันวาวแต้มลายจุดสีเหลืองสด มีต่อมขับสารพิษซาลาแมนดรินหลังดวงตา
28,ซาลาแมนเดอร์เสือ,Tiger Salamander,Ambystoma tigrinum,Caudata,Ambystomatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว",ซาลาแมนเดอร์บกขนาดใหญ่จากอเมริกาเหนือ ลายแถบสีเหลืองสลับดำคล้ายเสือ ชอบขุดรูอยู่ใต้ดิน
29,ปาดเขียว / ปาดบ้าน,Common Tree Frog,Polypedates leucomystax,Anura,Rhacophoridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา",ปลายนิ้วมีแผ่นดูดสำหรับปีนป่ายกระจกและใบไม้ ทำรังไข่เป็นฟองโฟมสีขาวเกาะเหนือกิ่งไม้เหนือน้ำ
30,ปาดบินวอลเลซ,Wallace's Flying Frog,Rhacophorus nigropalmatus,Anura,Rhacophoridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",มีพังผืดระหว่างนิ้วมือและนิ้วเท้ากว้างมาก ทำหน้าที่เป็นร่มร่อน สามารถร่อนเหินข้ามกิ่งไม้ในป่าดิบชื้นได้ไกลกว่า 15 เมตร
31,ปาดป่าเขียวเต๋อหนิง,Giant Flying Frog / Chinese Flying Frog,Zhangixalus dennysi,Anura,Rhacophoridae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ปาดเขียวขนาดยักษ์ ลำตัวยาวได้ถึง 11 ซม. สีเขียวมรกตสดใส ฝ่าเท้ามีแผ่นดูดขนาดใหญ่ ปีนกระจกและกิ่งไม้ได้อย่างมั่นคง
32,อึ่งกรายข้างแถบ / อึ่งกรายตาหนาม,White-lipped Horned Frog,Megophrys leucophrys,Anura,Megophryidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",พรางตัวแนบเนียนคล้ายใบไม้แห้ง ขอบตาและปลายจมูกแหลมเป็นติ่ง อาศัยตามพื้นป่าดิบชื้น
33,อึ่งปากขวด / อึ่งเพ้า,Truncate-snouted Burrowing Frog,Glyphoglossus molossus,Anura,Microhylidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์นครราชสีมา, สวนสัตว์เปิดเขาเขียว, สวนสัตว์ขอนแก่น",หัวสั้นทู่ ปากแคบ ลำตัวกลมป้อม อาศัยขุดรูอยู่ใต้ดิน ออกมาผสมพันธุ์เฉพาะช่วงต้นฤดูฝน
34,อึ่งอ่างบ้าน / อึ่งยาง,Asian Painted Bullfrog,Kaloula pulchra,Anura,Microhylidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",มีแถบสีส้มหรือน้ำตาลอ่อนพาดสองข้างลำตัว เมื่อตกใจจะสูบลมจนตัวพองกลมและขับเมือกเหนียวสีขาว
35,แอกโซลอตล์ / หมาน้ำเม็กซิโก,Axolotl,Ambystoma mexicanum,Caudata,Ambystomatidae,สัตว์สะเทินน้ำสะเทินบก,สัตว์ต่างถิ่นนำเข้า (Exotic),CR (วิกฤติต่อการสูญพันธุ์ในธรรมชาติ),"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว, ม.บูรพา บางแสน",ซาลาแมนเดอร์ที่ไม่ยอมโตเต็มวัย (Neoteny) มีพู่เหงือกภายนอกสีชมพูฟู สามารถงอกอวัยวะใหม่ทดแทนได้
