id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
11,กิ้งก่าอีกัวน่าแรด,Rhinoceros Iguana,Cyclura cornuta,Squamata,Iguanidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",มีปุ่มนอขนาดเล็กคล้ายนอแรดบนปลายจมูก ลำตัวสีเทาเข้ม แข็งแรงและปีนป่ายโขดหินได้ดี
12,งูกะปะ,Malayan Pit Viper,Calloselasma rhodostoma,Squamata,Viperidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว, สวนงู สถานเสาวภา",หัวสามเหลี่ยมปลายแหลม ลายพรางสามเหลี่ยมคล้ายใบไม้แห้ง ก่อให้เกิดผู้ถูกกัดมากที่สุดในภาคใต้
13,งูเขียวหางไหม้ท้องเหลือง,White-lipped Pit Viper,Trimeresurus albolabris,Squamata,Viperidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนงู สถานเสาวภา",หัวรูปสามเหลี่ยม ตาโตสีแดง ปลายหางสีน้ำตาลแดง มีหลุมรับรังสีความร้อนข้างแก้ม
14,งูคอร์นสเนค,Corn Snake,Pantherophis guttatus,Squamata,Colubridae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",งูลายข้าวโพดสีส้มแดง ไม่มีพิษ นิสัยเชื่อง นิยมใช้ในการศึกษาในกิจกรรม Zoo Education
15,งูจงอาง,King Cobra,Ophiophagus hannah,Squamata,Elapidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์ขอนแก่น, หมู่บ้านงูจงอาง โคกสง่า",งูพิษที่ยาวที่สุดในโลก แผ่แม่เบี้ยได้สูงและส่งเสียงขู่คำราม กินงูชนิดอื่นเป็นอาหารหลัก
16,งูทับสมิงคลา,Malayan Krait,Bungarus candidus,Squamata,Elapidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนงู สถานเสาวภา, สวนสัตว์นครราชสีมา",ลายปล้องสีขาวสลับดำ พิษต่อระบบประสาทรุนแรงที่สุดชนิดหนึ่งในบรรดางูพิษของไทย
17,งูทางมะพร้าว,Radiated Ratsnake (Copperhead Ratsnake),Coelognathus radiatus,Squamata,Colubridae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",งูไม่มีพิษ แกล้งตายเก่งมากเมื่อตกใจ พองคอแบนตามแนวตั้งและอ้าปากขู่ศัตรู
18,งูโบอาคอนสทริกเตอร์,Boa Constrictor,Boa constrictor,Squamata,Boidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",งูรัดขนาดใหญ่จากอเมริกาใต้ ลวดลายสวยงาม ออกลูกเป็นตัว (Ovoviviparous)
19,งูแมวเซาอินเดีย,Russell's Viper,Daboia russelii,Squamata,Viperidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนงู สถานเสาวภา, สวนสัตว์นครราชสีมา",ลายแต้มวงรีคล้ายเหรียญสามแถว ขู่เสียงดังคล้ายหม้อน้ำเดือด พิษทำลายระบบโลหิตและไตวาย
20,งูสามเหลี่ยม,Banded Krait,Bungarus fasciatus,Squamata,Elapidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",ลำตัวเป็นสันสามเหลี่ยมชัดเจน ลายปล้องสีเหลืองสลับดำตลอดทั้งตัว นิสัยไม่ดุร้ายในเวลากลางวัน
21,งูแสงอาทิตย์,Sunbeam Snake,Xenopeltis unicolor,Squamata,Xenopeltidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",เกล็ดสะท้อนแสงแดดเป็นสีรุ้งเหลือบเงางดงาม ไม่มีพิษ นิสัยเชื่อง ชอบมุดใต้ดินและซากใบไม้
22,งูหลามคาร์เพท,Carpet Python,Morelia spilota,Squamata,Pythonidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",ลวดลายสลับซับซ้อนคล้ายผืนพรมเปอร์เซีย อาศัยตามต้นไม้และโพรงหินในออสเตรเลีย
23,งูหลามต้นไม้สีเขียว,Green Tree Python,Morelia viridis,Squamata,Pythonidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",สีเขียวสดใส ขดตัวเป็นก้อนกลมพาดบนกิ่งไม้ ลูกแรกเกิดสีเหลืองหรือแดงสดก่อนเปลี่ยนสี
24,งูหลามทอง / งูหลามพม่า,Burmese Python (Albino),Python bivittatus,Squamata,Pythonidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์เชียงใหม่",งูหลามเผือกสีเหลืองทองและขาว ยอดนิยมอย่างยิ่งในโซนถ่ายรูปคู่กับนักท่องเที่ยวในสวนสัตว์
25,งูหลามบอล,Ball Python (Royal Python),Python regius,Squamata,Pythonidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",ขนาดกะทัดรัด มักขดตัวกลมแน่นคล้ายลูกบอลเมื่อรู้สึกตกใจ เชื่องและมีลวดลายผ่าเหล่ามากมาย
26,งูเหลือม,Reticulated Python,Malayopython reticulatus,Squamata,Pythonidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา",งูที่ยาวที่สุดในโลก ตัวโตเต็มวัยยาวได้กว่า 6-7 เมตร ลายตาข่ายเรขาคณิต เลื้อยว่ายน้ำและปีนต้นไม้คล่องแคล่ว
27,งูเหลือมปากเป็ด / งูหลามปากเป็ด,Blood Python,Python brongersmai,Squamata,Pythonidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",ลำตัวสั้นและอ้วนหนามากเป็นพิเศษ สีแดงเลือดนกหรือส้มอิฐ พบตามพื้นที่ชุ่มน้ำภาคใต้
28,งูเห่าไทย / งูเห่าหม้อ,Monocled Cobra,Naja kaouthia,Squamata,Elapidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนงู สถานเสาวภา, สวนสัตว์นครราชสีมา",แผ่แม่เบี้ยมีลวดลายดอกจันรูปวงแหวนเดี่ยว พิษทำลายระบบประสาทอย่างรุนแรง
29,งูเห่าพ่นพิษสยาม,Indochinese Spitting Cobra,Naja siamensis,Squamata,Elapidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนงู สถานเสาวภา, สวนสัตว์นครราชสีมา",สามารถพ่นน้ำพิษออกจากรูเขี้ยวได้ไกลกว่า 1-2 เมตร เล็งเป้าที่ดวงตาของศัตรูอย่างแม่นยำ
30,งูอนาคอนดาเขียว,Green Anaconda,Eunectes murinus,Squamata,Boidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์ (มารีนปาร์ค), สวนสัตว์เปิดเขาเขียว",งูที่มีน้ำหนักตัวมากที่สุดในโลกจากป่าแอมะซอน อาศัยและซุ่มล่าเหยื่อใต้น้ำได้อย่างเชี่ยวชาญ
31,งูอนาคอนดาเหลือง,Yellow Anaconda,Eunectes notaeus,Squamata,Boidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",ขนาดเล็กกว่าอนาคอนดาเขียว ลำตัวสีเหลืองทองแต้มจุดสีดำกลม ซุ่มล่าปลาและนกน้ำ
32,จระเข้น้ำเค็ม,Saltwater Crocodile,Crocodylus porosus,Crocodilia,Crocodylidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC / CR ในไทย,"สวนสัตว์เปิดเขาเขียว, ฟาร์มจระเข้สมุทรปราการ, สวนสัตว์สงขลา",สัตว์เลื้อยคลานขนาดใหญ่ที่สุดในโลก กรามทรงพลังที่สุด ดำน้ำและว่ายข้ามทะเลได้ไกล
33,จระเข้น้ำจืดพันธุ์ไทย,Siamese Crocodile,Crocodylus siamensis,Crocodilia,Crocodylidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่, บึงบอระเพ็ด นครสวรรค์",สัตว์ป่าสงวน/คุ้มครอง หายากมากในธรรมชาติ สวนสัตว์ไทยเพาะขยายพันธุ์ปล่อยคืนแหล่งน้ำธรรมชาติสำเร็จ
34,จิ้งเหลนจระเข้ตาแดง,Red-eyed Crocodile Skink,Tribolonotus gracilis,Squamata,Scincidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",เกล็ดสันหนามรอบตัวคล้ายจระเข้แคระ รอบตามีวงแหวนสีส้มแดงสดใส ส่งเสียงร้องขู่ได้
35,จิ้งเหลนลิ้นน้ำเงิน,Blue-tongued Skink,Tiliqua scincoides,Squamata,Scincidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",ลิ้นสีน้ำเงินเข้มสดใส แลบลิ้นขู่ศัตรู ลำตัวยาวขาสั้น เกล็ดเรียบเนียน เชื่องและเป็นมิตร
36,ซาวันน่ามอนิเตอร์,Savannah Monitor,Varanus exanthematicus,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์เชียงใหม่",กิ้งก่ามอนิเตอร์ทุ่งหญ้าแอฟริกา ลำตัวสั้นหนากำยำ กรงเล็บแข็งแรงสำหรับขุดโพรงดินหาแมลง
37,ตะกวด / แลน,Clouded Monitor,Varanus nebulosus,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",ตำแหน่งรูจมูกอยู่ใกล้ดวงตา ปรับตัวอาศัยตามป่าโปร่งและปีนป่ายต้นไม้ได้เก่งกว่าตัวเงินตัวทอง
38,ตะโขง,Tomistoma (False Gharial),Tomistoma schlegelii,Crocodilia,Gavialidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",จะงอยปากแคบเรียวยาวเป็นพิเศษ เชี่ยวชาญการจับปลา อาศัยตามป่าพรุภาคใต้ หายากมาก
39,ตะโขงอินเดีย / กาเรียล,Gharial,Gavialis gangeticus,Crocodilia,Gavialidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),CR (วิกฤติต่อการสูญพันธุ์),"ฟาร์มจระเข้สมุทรปราการ, ซาฟารีเวิลด์",ปลายจมูกตัวผู้มีก้อนเนื้อโป่งกลมคล้ายหม้อดินอินเดีย (Ghara) ปากยาวแคบเรียวยาวมาก
40,ตะพาบไต้หวัน,Chinese Softshell Turtle,Pelodiscus sinensis,Testudines,Trionychidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, บึงฉวาก",ตะพาบเศรษฐกิจที่เพาะเลี้ยงกันแพร่หลาย ปากแหลมยื่นคล้ายงวงหมู กัดเหยื่อแน่นไม่ยอมปล่อย
41,ตะพาบม่านลายไทย,Nutaphand's Narrow-headed Softshell Turtle,Chitra chitra,Testudines,Trionychidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สถานีวิจัยประมงน้ำจืดกาญจนบุรี, แม่น้ำแควน้อย",ตะพาบน้ำจืดขนาดใหญ่ที่สุดในโลก หนักได้กว่า 100-120 กก. หัวแคบยาวลายม่านสวยงาม
42,ตะพาบหัวกบ / ตะพาบกันกรัง,Asian Giant Softshell Turtle,Pelochelys cantorii,Testudines,Trionychidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",หัวสั้นทู่คล้ายกบ ฝังตัวอยู่ใต้ทรายใต้น้ำเพื่อซุ่มดักเหยื่อ โตเต็มที่หนักได้ถึง 100 กก.
43,ตัวเงินตัวทอง / เหี้ย,Asian Water Monitor,Varanus salvator,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์ดุสิต (เดิม)",สัตว์เลื้อยคลานขนาดใหญ่อันดับสองรองจากมังกรโคโมโด ว่ายน้ำและดำน้ำได้อย่างคล่องแคล่ว
44,ตุ๊กแกบ้าน,Tokay Gecko,Gekko gecko,Squamata,Gekkonidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",ตุ๊กแกขนาดใหญ่ ลายจุดสีส้มฟ้า ร้องเสียงก้อง 'ตั๊กแก' มีบทบาทสำคัญในการควบคุมประชากรแมลง
45,ตุ๊กแกเสือดาว,Leopard Gecko,Eublepharis macularius,Squamata,Eublepharidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",มีเปลือกตากะพริบตาได้ ลวดลายจุดแต้มคล้ายเสือดาว หางหนาสะสมไขมัน ไม่มีปุ่มดูดเกาะกระจก
46,ตุ๊ดตู่,Dumeril's Monitor,Varanus dumerilii,Squamata,Varanidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",สัตว์ตระกูลเหี้ยขนาดเล็ก หัวสั้นมน นิสัยรักสงบ อาศัยตามป่าพรุและกินปูหอยเป็นอาหารหลัก
47,เต่าแก้มแดง / เต่าญี่ปุ่น,Red-eared Slider,Trachemys scripta elegans,Testudines,Emydidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Alien Invasive),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",มีแถบสีแดงสดข้างแก้มทั้งสองข้าง แพร่พันธุ์รวดเร็วและเป็นสัตว์ต่างถิ่นรุกรานในแหล่งน้ำธรรมชาติ
48,เต่าคอยาวออสเตรเลีย,Eastern Long-necked Turtle,Chelodina longicollis,Testudines,Chelidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",คอยาวเกือบเท่าความยาวกระดอง หดคอเข้ากระดองไม่ได้ แต่จะพับคอไปด้านข้าง (Side-necked)
49,เต่าจมูกหมู / เต่าบินฟลอริดา,Pig-nosed Turtle (Fly River Turtle),Carettochelys insculpta,Testudines,Carettochelyidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบางแสน",จมูกยื่นยาวคล้ายจมูกหมู ขาหน้าแบนเป็นใบพายคล้ายเต่าทะเล อาศัยในน้ำจืดตลอดชีวิต
50,เต่าซูลคาตา / เต่าเดือยแอฟริกา,African Spurred Tortoise (Sulcata),Centrochelys sulcata,Testudines,Testudinidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์ขอนแก่น, สวนสัตว์อุบลราชธานี",เต่าบกขนาดใหญ่อันดับสามของโลก มีเดือยแหลมแข็งที่ขาหลัง ชอบเดินตากแดดและกินหญ้า
51,เต่าดาวพม่า,Burmese Star Tortoise,Geochelone platynota,Testudines,Testudinidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ลวดลายดาวบนกระดองเส้นสายคมชัดและสมมาตรกว่าเต่าดาวอินเดีย ใต้ท้องมีลายรูปพัดสีดำ
52,เต่าดาวอินเดีย,Indian Star Tortoise,Geochelone elegans,Testudines,Testudinidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",กระดองทรงโดมมีสันนูนเป็นแฉกลวดลายรูปดาวสีเหลืองตัดกับสีดำสวยงามโดดเด่น
53,เต่านา,Malayan Snail-eating Turtle,Malayemys macrocephala,Testudines,Geoemydidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",หัวโต เส้นสีขาวพาดผ่านดวงตา กรามแข็งแรงขบเปลือกหอยโข่งและหอยเชอรี่แตกเป็นอาหาร
54,เต่าบึงหัวเหลือง,Yellow-headed Temple Turtle,Heosemys annandalii,Testudines,Geoemydidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์ดุสิต (เดิม), สวนสัตว์นครราชสีมา",เต่าน้ำจืดขนาดใหญ่ หัวสีเหลืองมีลายเส้นสีเข้ม อาศัยตามหนองบึงและคุ้นเคยกับบ่อเต่าตามวัดโบราณ
55,เต่าปูลู,Big-headed Turtle,Platysternon megacephalum,Testudines,Platysternidae,สัตว์เลื้อยคลาน,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เชียงใหม่, สถานีวิจัยสัตว์ป่าดอยเชียงดาว, ภูหลวง เลย",หัวโตกระดูกหนาจนหดเข้ากระดองไม่ได้ หางยาว ปากงุ้มคล้ายนกแก้ว ปีนป่ายโขดหินน้ำตกสูงชันได้
56,เต่ามาตามาตา,Matamata Turtle,Chelus fimbriata,Testudines,Chelidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",หัวรูปสามเหลี่ยมแบน ผิวหนังมีติ่งเนื้อพรางตัวกลมกลืนกับใบไม้ใต้น้ำ อ้าปากดูดเหยื่อด้วยความเร็วสูง
57,เต่ายักษ์กาลาปากอส,Galapagos Giant Tortoise,Chelonoidis niger,Testudines,Testudinidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),CR / VU (ขึ้นกับชนิดย่อย),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",เต่าบกขนาดใหญ่ที่สุดในโลก คอยาว กระดองรูปอานม้า สัญลักษณ์แห่งหมู่เกาะกาลาปากอส
58,เต่ายักษ์อัลดาบรา,Aldabra Giant Tortoise,Aldabrachelys gigantea,Testudines,Testudinidae,สัตว์เลื้อยคลาน,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",เต่าบกขนาดยักษ์อันดับสองของโลกจากเซเชลส์ อายุยืนยาวกว่า 100-150 ปี หนักได้ถึง 250 กก.
