id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
11,กระรอกสามสี,Prevost's Squirrel,Callosciurus prevostii,Rodentia,Sciuridae,สัตว์ฟันแทะ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",กระรอกต้นไม้ที่สวยงามที่สุด ขนแบ่งสามสีชัดเจน หลังสีดำ ท้องสีส้มแดง และแถบข้างสีขาว
12,กระรอกหน้ากระแต,Berdmore's Ground Squirrel,Menetes berdmorei,Rodentia,Sciuridae,สัตว์ฟันแทะ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",กระรอกดินปากแหลม ลำตัวมีลายแถบสีขาวและดำพาดข้างลำตัว หากินเมล็ดพืชและแมลงตามพื้นดิน
13,กระรอกหลากสี,Variable Squirrel,Callosciurus finlaysonii,Rodentia,Sciuridae,สัตว์ฟันแทะ,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์นครราชสีมา",กระรอกที่มีสีขนแปรผันมากที่สุดในโลก ทั้งสีขาวล้วน แดง น้ำตาล และดำ
14,กระรอกหางม้าข้อดำ,Horse-tailed Squirrel,Sundasciurus hippurus,Rodentia,Sciuridae,สัตว์ฟันแทะ,สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",หางเป็นพวงหนาใหญ่สีดำสนิทคล้ายพวงหางม้า ลำตัวสีน้ำตาลแดง ว่องไวบนต้นไม้สูงในป่าภาคใต้
15,กวางซีก้า / กวางญี่ปุ่น,Sika Deer,Cervus nippon,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",กวางลายจุดขาวจากเอเชียตะวันออก เชื่องและเข้าหาคนง่าย คล้ายกวางที่ศาลเจ้านาระในญี่ปุ่น
16,กวางดาว,Chital / Spotted Deer,Axis axis,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",กวางลายจุดขาวตลอดชีวิตจากอนุทวีปอินเดีย เชื่องและคุ้นเคยกับนักท่องเที่ยว
17,กวางแดงยุโรป,Red Deer,Cervus elaphus,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, เชียงใหม่ไนท์ซาฟารี, ซาฟารีเวิลด์",กวางสง่างามแห่งยุโรป ตัวผู้มีเขาแตกแขนงหลายกิ่ง ขนฤดูหนาวสีเทาน้ำตาล ขนฤดูร้อนสีแดงสดใส
18,กวางบาราสิงห์ / กวางหนองน้ำ,Barasingha (Swamp Deer),Rucervus duvaucelii,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",กวางอินเดียชื่อแปลว่า '12 กิ่ง' ตัวผู้มีเขาแตกกิ่งแขนงมากถึง 10-14 กิ่ง ชอบอาศัยตามทุ่งหญ้าชุ่มน้ำ
19,กวางป่า / กวางม้า,Sambar Deer,Rusa unicolor,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",กวางพื้นเมืองขนาดใหญ่ที่สุดในเอเชียตะวันออกเฉียงใต้ อาศัยตามป่าเขาใหญ่และป่าดงพญาเย็น
20,กวางป่าฟิลิปปินส์,Philippine Deer,Rusa marianna,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",กวางขนาดกลางพื้นเมืองของฟิลิปปินส์ ขนสีน้ำตาลเข้ม เขาสามกิ่งปรับตัวเข้ากับสภาพป่าเขตร้อนได้ดีเยี่ยม
21,กวางผาจีน,Chinese Goral,Naemorhedus griseus,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เชียงใหม่, สถานีเพาะเลี้ยงสัตว์ป่าอมก๋อย, ดอยม่อนจอง",สัตว์ป่าสงวนของไทย 'ม้าเทวดา' อาศัยตามยอดเขาสูงชันในภาคเหนือ เช่น ดอยเชียงดาว
22,กวางพูดูใต้,Southern Pudu,Pudu puda,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),NT (ใกล้ถูกคุกคาม),สวนสัตว์เปิดเขาเขียว,กวางขนาดเล็กที่สุดในโลก สูงเพียง 35-40 ซม. ขาสั้น ลำตัวกลมป้อม อาศัยตามพงป่าดิบชื้นแถบชิลี
23,กวางฟอลโลว์,Fallow Deer,Dama dama,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",กวางยุโรป เขาของตัวผู้แบนกว้างคล้ายฝ่ามือ ลายจุดสวยงาม
24,กวางมูส,Moose (Eurasian Elk),Alces alces,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),สวนสัตว์เชียงใหม่ (โซนสัตว์ป่าเขตหนาว),กวางขนาดใหญ่ที่สุดในโลก ขายาวสูงโปร่ง ตัวผู้มีเขาแบนกว้างคล้ายฝ่ามือ ว่ายน้ำและดำน้ำกินพืชน้ำได้
25,กวางรูซาชวา,Javan Rusa (Sunda Sambar),Rusa timorensis,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",กวางพื้นเมืองของอินโดนีเซีย มีเขาสามกิ่งปรับตัวเข้ากับสภาพอากาศร้อนชื้นได้ดี นิยมเลี้ยงในฟาร์มกวาง
26,กวางเรนเดียร์ / คาริบู,Reindeer (Caribou),Rangifer tarandus,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),สวนสัตว์เชียงใหม่ (Snow Dome / คริสต์มาสอีเวนต์),กวางชนิดเดียวที่ทั้งตัวผู้และตัวเมียมีเขา กีบเท้ากว้างช่วยเดินบนหิมะและน้ำแข็งโดยไม่จม
27,กาเซลล์ดอร์คัส,Dorcas Gazelle,Gazella dorcas,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",กาเซลล์ทะเลทรายตัวเล็ก ปราดเปรียว ทนความแห้งแล้งสูง ดื่มน้ำจากหยาดน้ำค้างบนใบไม้
28,กาเซลล์ทอมสัน,Thomson's Gazelle (Tommie),Eudorcas thomsonii,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",กาเซลล์ขนาดกะทัดรัด มีแถบดำหนาคาดข้างลำตัว วิ่งกระโดดสี่ขาตัวลอยและกระดิกหางตลอดเวลา
29,เก้งธรรมดา,Red Muntjac (Barking Deer),Muntiacus muntjak,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",กวางขนาดเล็ก ร้องเสียงดังคล้ายเสียงสุนัขเห่าเมื่อตกใจ
30,เก้งเผือก,Albino Barking Deer,Muntiacus muntjak (Albino),Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",เก้งลักษณะเผือกล้วนพันธุกรรมหายาก เป็นจุดสนใจของสวนสัตว์สงขลาและเขาเขียว
31,เก้งหม้อ,Fea's Muntjac,Muntiacus feae,Artiodactyla,Cervidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),DD (ข้อมูลไม่เพียงพอ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สถานีเพาะเลี้ยงสัตว์ป่าเขาสน",สัตว์ป่าสงวนของไทย ขนลำตัวสีน้ำตาลเข้มเกือบดำ หางสั้นด้านบนดำด้านล่างขาว
32,แกะบาร์บารี,Barbary Sheep,Ammotragus lervia,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์เชียงใหม่",แกะภูเขาแถบแอฟริกาเหนือ มีเคราแผงยาวบริเวณคอและอก ปีนหน้าผาเก่ง
33,คลิปสปริงเกอร์,Klipspringer,Oreotragus oreotragus,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"เชียงใหม่ไนท์ซาฟารี, สวนสัตว์เปิดเขาเขียว",'นักบัลเลต์แห่งโขดหิน' กีบเท้ามีลักษณะพิเศษยืนด้วยปลายกีบ ช่วยเกาะกระโดดไปตามหน้าผาชันอย่างแม่นยำ
34,ควายแคระอะโนอา,Lowland Anoa,Bubalus depressicornis,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),สวนสัตว์เปิดเขาเขียว,ควายป่าขนาดเล็กที่สุดในโลก สูงเพียง 1 เมตรจากเกาะสุลาเวสี อินโดนีเซีย เขาสั้นตรงรูปสามเหลี่ยมชี้ไปด้านหลัง
35,ควายป่า,Wild Water Buffalo,Bubalus arnee,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, เขตรักษาพันธุ์สัตว์ป่าห้วยขาแข้ง",สัตว์ป่าสงวนของไทย วงเขากว้างที่สุดในบรรดาสัตว์ตระกูลวัวควาย
36,ควายป่าแอฟริกา / เคปบัฟฟาโล,African Buffalo (Cape Buffalo),Syncerus caffer,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),NT (ใกล้ถูกคุกคาม),"ซาฟารีเวิลด์, เชียงใหม่ไนท์ซาฟารี",หนึ่งใน 'Big Five' แห่งแอฟริกา โคนเขาเชื่อมติดกันเป็นหมวกเกราะกระดูกหนา ดุร้ายและทรงพลัง
37,ค้างคาวคุณกิตติ,Kitti's Hog-nosed Bat (Bumblebee Bat),Craseonycteris thonglongyai,Chiroptera,Craseonycteridae,สัตว์ปีกเลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),NT / สัตว์หายากระดับโลก,"อุทยานแห่งชาติไทรโยค กาญจนบุรี, พิพิธภัณฑ์ธรรมชาติวิทยา",สัตว์เลี้ยงลูกด้วยนมที่มีขนาดเล็กที่สุดในโลก น้ำหนักตัวเพียง 2 กรัม จมูกคล้ายหมู พบเฉพาะในถ้ำหินปูนริมแม่น้ำแควน้อย
38,ค้างคาวมงกุฎยอดสั้น,Malayan Horseshoe Bat,Rhinolophus malayanus,Chiroptera,Rhinolophidae,สัตว์ปีกเลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ถ้ำเขาช่องพราน ราชบุรี",จมูกมีแผ่นเนื้อรูปเกือกม้าช่วยสะท้อนคลื่นเสียงเอคโคโลเคชัน บินจับแมลงในป่าหินปูนยามค่ำคืน
39,ค้างคาวแม่ไก่ป่าดงดิบ,Large Flying Fox,Pteropus vampyrus,Chiroptera,Pteropodidae,สัตว์ปีกเลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์สงขลา, เกาะช้าง ตราด",ค้างคาวขนาดใหญ่ที่สุดในโลก กางปีกได้กว้างเกือบ 1.5 เมตร กินน้ำหวานและผลไม้ ช่วยฟื้นฟูระบบนิเวศป่าไม้
40,ค้างคาวแม่ไก่ภาคกลาง,Lyle's Flying Fox,Pteropus lylei,Chiroptera,Pteropodidae,สัตว์ปีกเลี้ยงลูกด้วยนม,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, วัดโพธิ์บางคล้า ฉะเชิงเทรา",ค้างคาวกินผลไม้ขนาดใหญ่ ปีกกว้างช่วยผสมเกสรดอกไม้และกระจายเมล็ดพันธุ์พืชป่า
41,ค่างดำมลายู,Silvered Leaf Monkey,Trachypithecus cristatus,Primates,Cercopithecidae,ลิงและไพรเมต,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",ขนสีเทาเข้มปลายขนสีเงินประกาย ยอดหัวแหลมเป็นหงอน ลูกแรกเกิดขนสีทองสดใส
42,ค่างเทาหางม้า,Germain's Langur (Indochinese Lutung),Trachypithecus germaini,Primates,Cercopithecidae,ลิงและไพรเมต,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, อุทยานแห่งชาติแก่งกระจาน เพชรบุรี",ขนสีเทาเงิน ปลายหางมีพู่ขนฟูคล้ายพวงหางม้า อาศัยตามป่าเบญจพรรณและป่าดิบแล้งในภาคตะวันตกและตะวันออก
43,ค่างแว่นถิ่นใต้,Dusky Leaf Monkey,Trachypithecus obscurus,Primates,Cercopithecidae,ลิงและไพรเมต,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่, อ่าวมะนาว ประจวบคีรีขันธ์",มีวงกลมสีขาวรอบดวงตาคล้ายสวมแว่นตา ลูกแรกเกิดมีขนสีส้มทองสดใสน่ารัก
44,ค่างแว่นถิ่นเหนือ,Phayre's Leaf Monkey,Trachypithecus phayrei,Primates,Cercopithecidae,ลิงและไพรเมต,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",วงตาสีขาวกว้าง ขนสีเทาอมน้ำเงิน กินใบไม้เป็นอาหารหลัก พบตามป่าภาคเหนือและตะวันตก
45,ค่างห้าสี,Red-shanked Douc Langur,Pygathrix nemaeus,Primates,Cercopithecidae,ลิงและไพรเมต,สัตว์ต่างถิ่นนำเข้า (Exotic),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์ดุสิต (เดิม), สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",'ราชินีแห่งค่าง' สีสันสดใสสวยงามที่สุด ขาสีแดง ปลอกแขนสีขาว หน้าสีส้ม หางสีขาว
46,คาปิบารา,Capybara,Hydrochoerus hydrochaeris,Rodentia,Caviidae,สัตว์ฟันแทะ,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์ขอนแก่น, ซาฟารีเวิลด์, สวนสัตว์อุบลราชธานี",สัตว์ฟันแทะขนาดใหญ่ที่สุดในโลก นิสัยใจดีเป็นมิตรกับสัตว์ทุกชนิด ได้รับความนิยมสูงมากในโซนสัมผัสสัตว์
47,คาราคัล,Caracal,Caracal caracal,Carnivora,Felidae,สัตว์กินเนื้อ,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, เชียงใหม่ไนท์ซาฟารี",แมวลิงซ์ทะเลทราย ปลายหูมีพู่ขนสีดำยาว สามารถกระโดดขึ้นไปจับนกกลางอากาศได้
48,โคอาติหางวงแหวน,South American Coati,Nasua nasua,Carnivora,Procyonidae,สัตว์กินเนื้อ,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",จมูกยาวเรียวยืดหยุ่น หางยาวชี้ฟ้าเป็นปล้อง ชอบเดินสำรวจหาแมลงตามพื้นดิน
49,โคอาลา,Koala,Phascolarctos cinereus,Diprotodontia,Phascolarctidae,สัตว์มีกระเป๋าหน้าท้อง,สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เชียงใหม่, สวนสัตว์เปิดเขาเขียว",สัตว์สัญลักษณ์ออสเตรเลีย กินใบยูคาลิปตัสเป็นอาหาร นอนหลับวันละ 18-20 ชั่วโมง
50,จามรี,Domestic Yak,Bos grunniens,Artiodactyla,Bovidae,สัตว์มีกีบและสัตว์กินพืชขนาดใหญ่,สัตว์ต่างถิ่นนำเข้า (Exotic),Domesticated (เลี้ยง),"สวนสัตว์เชียงใหม่, เชียงใหม่ไนท์ซาฟารี",วัวภูเขาขนยาวรุงรังจากที่ราบสูงทิเบตและเทือกเขาหิมาลัย ปอดและหัวใจใหญ่พิเศษทนทานที่สูงออกซิเจนต่ำ
51,จิ้งจอกเฟนเนก,Fennec Fox,Vulpes zerda,Carnivora,Canidae,สัตว์กินเนื้อ,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",หมาจิ้งจอกขนาดเล็กที่สุดในโลก ใบหูใหญ่มากช่วยระบายความร้อนในทะเลทรายซาฮารา
52,จิงโจ้แดง,Red Kangaroo,Osphranter rufus,Diprotodontia,Macropodidae,สัตว์มีกระเป๋าหน้าท้อง,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",สัตว์มีกระเป๋าหน้าท้องขนาดใหญ่ที่สุดในโลก ตัวผู้สีน้ำตาลแดงกล้ามเนื้อกำยำ กระโดดได้ไกล
53,ชะนีแก้มขาวเหนือ,Northern White-cheeked Gibbon,Nomascus leucogenys,Primates,Hylobatidae,ลิงและไพรเมต,สัตว์ต่างถิ่นนำเข้า (Exotic),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",ตัวผู้ขนสีดำสนิทมีแต้มแก้มขาวฟูยาว ตัวเมียสีเหลืองนวลมงกุฎดำ โหนต้นไม้รวดเร็วและร้องเพลงคู่
54,ชะนีมงกุฎ,Pileated Gibbon,Hylobates pileatus,Primates,Hylobatidae,ลิงและไพรเมต,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์อุบลราชธานี",ตัวผู้สีดำมีขนขาวรอบหน้า ตัวเมียสีเทาปนขาวมีหมวกสีดำ พบเฉพาะป่าภาคตะวันออกและอีสานใต้
55,ชะนีมือขาว,Lar Gibbon (White-handed Gibbon),Hylobates lar,Primates,Hylobatidae,ลิงและไพรเมต,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา, ซาฟารีเวิลด์",มือและเท้าสีขาว มีวงหน้าสีขาว โหนกิ่งไม้ได้อย่างคล่องแคล่ว ร้องเพลงส่งเสียงก้องกังวาน
56,ชะนีมือดำ,Agile Gibbon,Hylobates agilis,Primates,Hylobatidae,ลิงและไพรเมต,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",มือสีดำ ขนสีน้ำตาลเข้มหรือน้ำตาลอ่อน พบตามธรรมชาติเฉพาะป่าภาคใต้ตอนล่างติดมาเลเซีย
