id,thai_name,english_name,scientific_name,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
21,นกกระทุง,Spot-billed Pelican,Pelecanus philippensis,Pelecaniformes,Pelecanidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา, ซาฟารีเวิลด์",ถุงใต้คอยืดหยุ่นขนาดใหญ่ ใช้ช้อนตักปลาในน้ำได้อย่างแม่นยำ
22,นกกระเรียนพันธุ์ไทย,Eastern Sarus Crane,Antigone antigone sharpii,Gruiformes,Gruidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU / CR ในไทย,"สวนสัตว์นครราชสีมา, เขตห้ามล่าสัตว์ป่าอ่างเก็บน้ำห้วยจระเข้มาก บุรีรัมย์",สัตว์ป่าสงวนของไทย เคยสูญพันธุ์จากป่าธรรมชาติ โคราชเพาะพันธุ์ปล่อยคืนสำเร็จ
23,นกกระสาแดง,Purple Heron,Ardea purpurea,Pelecaniformes,Ardeidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, สวนสัตว์สงขลา",คอยาวเรียวลายเส้นสีน้ำตาลแดง ซุ่มตัวในพงอ้อพงกกได้อย่างกลมกลืน
24,นกกระสานวล,Grey Heron,Ardea cinerea,Pelecaniformes,Ardeidae,สัตว์ปีก (นก),สัตว์ประจำถิ่น / อพยพ,LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่",นกกระสายักษ์ ลำตัวสีเทา คอยาว ยืนนิ่งดุจรูปปั้นเพื่อรอจังหวะพุ่งจับปลา
25,นกกาน้ำเล็ก,Little Cormorant,Microcarbo niger,Suliformes,Phalacrocoracidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, ซาฟารีเวิลด์",นกกาน้ำขนาดเล็กพบได้ทั่วไปตามแหล่งน้ำ เกาะกิ่งไม้ผึ่งปีกตากแดดเป็นประจำ
26,นกกาน้ำใหญ่,Great Cormorant,Phalacrocorax carbo,Suliformes,Phalacrocoracidae,สัตว์ปีก (นก),สัตว์ประจำถิ่น / อพยพ,LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",นักดำน้ำจับปลาชั้นยอด ขนสีดำขลับ โคนปากสีเหลือง ว่ายน้ำเก่งมาก
27,นกกาบบัว,Painted Stork,Mycteria leucocephala,Ciconiiformes,Ciconiidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา, ซาฟารีเวิลด์",นกกระสาตัวใหญ่ ปลายปีกแต้มสีชมพูคล้ายกลีบดอกบัว หากินตามบึงน้ำ
28,นกกินปลีอกเหลือง,Olive-backed Sunbird,Cinnyris jugularis,Passeriformes,Nectariniidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่",'ฮัมมิงเบิร์ดเมืองไทย' ปากโค้งดูดน้ำหวานดอกไม้ ตัวผู้ใต้คอมีแถบขนสีน้ำเงินเข้มเหลือบเงา
29,นกแก๊ก,Oriental Pied Hornbill,Anthracoceros albirostris,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่",นกเงือกขนาดเล็กที่สุด พบบ่อยที่สุด เลี้ยงง่ายและเชื่องมากในกรงนกใหญ่เขาเขียว
30,นกแก้วกรีนวิงมาคอว์,Red-and-green Macaw,Ara chloropterus,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",มาคอว์ขนาดใหญ่อันดับสอง ลำตัวสีแดงสด ปีกมีแถบสีเขียวเข้มและน้ำเงิน
31,นกแก้วค็อกคาเทล,Cockatiel,Nymphicus hollandicus,Psittaciformes,Cacatuidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",แก้มส้ม หงอนชี้ ผิวปากเลียนเสียงเพลงได้เก่งมาก อัธยาศัยดี
32,นกแก้วซันคอนัวร์,Sun Conure,Aratinga solstitialis,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์ขอนแก่น",นกแก้วขนาดกลางสีเหลืองส้มสดใส เชื่องมากในโซนป้อนอาหารนกในสวนสัตว์
33,นกแก้วโนรีสายรุ้ง,Rainbow Lorikeet,Trichoglossus moluccanus,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, เชียงใหม่ไนท์ซาฟารี",ลิ้นมีพู่ขนคล้ายแปรงสำหรับดูดกินน้ำหวานจากเกสรดอกไม้ สีสันสดใสทั่วตัว
34,นกแก้วมาคอว์สีน้ำเงิน-ทอง,Blue-and-yellow Macaw,Ara ararauna,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",นกแก้วอเมริกาใต้ยอดนิยม ฉลาด เลียนเสียงพูดได้ มีโชว์นกแสนรู้ที่ซาฟารีเวิลด์
35,นกแก้วสการ์เล็ตมาคอว์,Scarlet Macaw,Ara macao,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",สีสันสดใส แดง เหลือง น้ำเงิน จะงอยปากแข็งแรงขบเมล็ดพืชเปลือกแข็งได้
36,นกแก้วหงส์หยก,Budgerigar,Melopsittacus undulatus,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",นกแก้วขนาดเล็กยอดนิยม ลวดลายคลื่นบนปีก มีฝูงใหญ่ให้ป้อนอาหารในกรงเปิด
37,นกแก้วอีเล็คตัส,Eclectus Parrot,Eclectus roratus,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, สวนสัตว์เชียงใหม่",ตัวผู้สีเขียวมรกต ตัวเมียสีแดงสดสลับน้ำเงิน สีต่างกันอย่างสิ้นเชิงจนเคยเข้าใจผิดว่าเป็นคนละชนิด
38,นกแก้วแอฟริกันเกรย์,African Grey Parrot,Psittacus erithacus,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),EN (ใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",นกที่ฉลาดที่สุดในโลก ขนสีเทาหางแดงสด จดจำคำศัพท์และเข้าใจบริบทภาษาได้อย่างน่าทึ่ง
39,นกแก้วไฮยาซินธ์มาคอว์,Hyacinth Macaw,Anodorhynchus hyacinthinus,Psittaciformes,Psittacidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),"ซาฟารีเวิลด์, สวนสัตว์เปิดเขาเขียว",นกแก้วบินได้ขนาดใหญ่ที่สุดในโลก ขนสีน้ำเงินโคบอลต์ รอบตามีวงแหวนสีเหลืองทอง
40,นกขมิ้นท้ายทอยดำ,Black-naped Oriole,Oriolus chinensis,Passeriformes,Oriolidae,สัตว์ปีก (นก),สัตว์ประจำถิ่น / อพยพ,LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",ขนสีเหลืองทองสว่างสดใส มีแถบสีดำคาดผ่านดวงตาไปถึงท้ายทอย เสียงร้องใสไพเราะ
41,นกเขาชวา / นกเขานกแล,Zebra Dove,Geopelia striata,Columbiformes,Columbidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",นกเขาลายบั้งสลักละเอียด เสียงขันไพเราะ มีการจัดแข่งขันนกเขาชวาเสียงระดับอาเซียนที่ยะลา
42,นกเขาไฟ,Red Collared Dove,Streptopelia tranquebarica,Columbiformes,Columbidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ตัวผู้ลำตัวสีน้ำตาลแดงเพลิง รอบคอด้านหลังมีแถบสีดำพาดคล้ายปลอกคอ
43,นกเขาใหญ่,Spotted Dove,Spilopelia chinensis,Columbiformes,Columbidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์นครราชสีมา",มีแถบขนลายจุดขาวบนพื้นดำรอบคอ เสียงขันกังวานทุ้มนุ่มนวล พบบ่อยทั่วไป
44,นกเขียวคราม,Asian Fairy-bluebird,Irena puella,Passeriformes,Irenidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่",ตัวผู้หลังสีฟ้าครามแวววาว ด้านล่างสีดำขลับ ตาโตสีแดงสดใส กินผลไม้สุกในป่าดงดิบ
45,นกคาสโซวารีใต้,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",'นกที่อันตรายที่สุดในโลก' บนหัวมีหงอนกระดูก กรงเล็บนิ้วเท้าแหลมคมคล้ายกริช
46,นกคุ่มอกดำ,Rain Quail,Coturnix coromandelica,Galliformes,Phasianidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",นกคุ่มขนาดเล็ก บินเรี่ยดิน ตัวผู้มีแต้มสีดำเข้มกลางอก
47,นกเค้ากู่,Collared Scops Owl,Otus lettia,Strigiformes,Strigidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",นกฮูกขนาดเล็ก มีขนหงอนคล้ายหู ร้องเสียง 'กู๊...กู๊' ในเวลากลางคืน
48,นกเค้าจุด,Spotted Owlet,Athene brama,Strigiformes,Strigidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ลำตัวแต้มจุดสีขาว มักอาศัยตามโพรงต้นไม้ในสวนและวัด ทำท่าผงกหัวดุ๊กดิ๊กเมื่อจ้องมอง
49,นกเค้าแมวหิมะ,Snowy Owl,Bubo scandiacus,Strigiformes,Strigidae,สัตว์ปีก (นก),สัตว์ต่างถิ่นนำเข้า (Exotic),VU (มีแนวโน้มใกล้สูญพันธุ์),สวนสัตว์เชียงใหม่ (โซนเมืองหิมะ/สัตว์เขตหนาว),นกเค้าแมวสีขาวล้วนจากเขตอาร์กติก ตาโตสีเหลืองสดใส บินเงียบกริบ
50,นกเค้าโมง / นกเค้าแมว,Asian Barred Owlet,Glaucidium cuculoides,Strigiformes,Strigidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",นกเค้าแมวขนาดเล็ก ลายบั้งตามขวาง มักหากินตอนพลบค่ำและเช้าตรู่
51,นกเค้าใหญ่พันธุ์เนปาล,Spot-bellied Eagle-Owl,Ketupa nipalensis,Strigiformes,Strigidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่",นกเค้าแมวขนาดใหญ่ที่สุดในไทย ขนคิ้วชี้ขึ้นเป็นรูปหู เสียงร้องโหยหวนคล้ายมนุษย์
52,นกเงือกกรามช้าง,Wreathed Hornbill,Rhyticeros undulatus,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา",โหนกเป็นรอยหยักคล้ายฟันกรามช้าง ถุงใต้คอตัวผู้สีเหลืองสด ตัวเมียสีฟ้าคราม
53,นกเงือกคอแดง,Rufous-necked Hornbill,Aceros nipalensis,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์เชียงใหม่, สถานีเพาะเลี้ยงสัตว์ป่าห้วยขาแข้ง",หัว คอ และอกตัวผู้สีน้ำตาลแดงสดใส ไม่มีโหนกชัดเจน พบตามป่าดอยสูงภาคเหนือและตะวันตก
54,นกเงือกปากดำ,Black Hornbill,Anthracoceros malayanus,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"สวนสัตว์สงขลา, สวนสัตว์เปิดเขาเขียว",ขนสีดำสนิท ตัวผู้มีจะงอยปากสีขาวงาช้าง ตัวเมียปากสีดำ พบในป่าภาคใต้
55,นกเงือกสีน้ำตาล,Brown Hornbill,Anorrhinus austeni,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ชอบอยู่รวมกันเป็นฝูง มีระบบช่วยกันเลี้ยงลูกนกในรัง (Cooperative breeding)
56,นกเงือกหัวหงอก,White-crowned Hornbill,Berenicornis comatus,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา",นกเงือกหายาก บนหัวมีหงอนขนสีขาวฟูตั้งชัน กินสัตว์เลื้อยคลานและแมลงเป็นหลัก
57,นกชนหิน,Helmeted Hornbill,Rhinoplax vigil,Bucerotiformes,Bucerotidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"สวนสัตว์สงขลา, สถานีวิจัยสัตว์ป่าบาลา-ฮาลา",สัตว์ป่าสงวนลำดับที่ 20 ของไทย โหนกตันสีแดงคล้ายงาช้าง ถูกล่าอย่างหนักจนวิกฤติ
58,นกช้อนหอยขาว,Black-headed Ibis,Threskiornis melanocephalus,Pelecaniformes,Threskiornithidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ลำตัวสีขาว หัวและคอดำสนิทไร้ขน ปากโค้งยาวคล้ายเคียวสำหรับชอนไชจับสัตว์น้ำเล็ก
59,นกชาปีไหน,Nicobar Pigeon,Caloenas nicobarica,Columbiformes,Columbidae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์สงขลา, สวนสัตว์เชียงใหม่, หมู่เกาะสิมิลัน",นกพิราบป่าสีสวยที่สุด ขนคอยาวแหลมคล้ายสร้อยคอ ขนลำตัวเหลือบเงาสีเขียวมรกตและทองแดง
60,นกแซงแซวหางบ่วงใหญ่,Greater Racket-tailed Drongo,Dicrurus paradiseus,Passeriformes,Dicruridae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, สวนสัตว์สงขลา",ขนหางคู่นอกยาวมาก มีก้านเรียวยาวปลายแผ่เป็นพู่บ่วง เลียนเสียงสัตว์อื่นได้หลากหลาย
61,นกแซงแซวหางปลา,Black Drongo,Dicrurus macrocercus,Passeriformes,Dicruridae,สัตว์ปีก (นก),สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, สวนสัตว์นครราชสีมา",ขนดำสนิท หางแฉกเว้าลึกคล้ายหางปลา กล้าหาญบินไล่จิกเหยี่ยวและนกกาที่เข้ามาใกล้รัง
