id,thai_name,english_name,scientific_name,class,order,family,category,origin_type,iucn_status,thai_zoos,highlight_notes
14,ปลาการ์ตูนส้มขาว / นีโม,Ocellaris Clownfish,Amphiprion ocellaris,Actinopterygii,Perciformes,Pomacentridae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, สวนสัตว์สงขลา",ขวัญใจเด็กๆ อาศัยร่วมกับดอกไม้ทะเลแบบพึ่งพาอาศัย มีเมือกป้องกันเข็มพิษของดอกไม้ทะเล
15,ปลาการ์ตูนอานม้า,Saddleback Clownfish,Amphiprion polymnus,Actinopterygii,Perciformes,Pomacentridae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, สวนสัตว์สงขลา",ลายแถบสีขาวพาดบนหลังคล้ายอานม้า ลำตัวสีดำหรือน้ำตาลเข้ม พบตามแนวปะการังอ่าวไทย
16,ปลากุดสล่า / ปลาเก๋าแดงลายจุด,Coral Trout (Leopard Coral Grouper),Plectropomus leopardus,Actinopterygii,Perciformes,Serranidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, สวนสัตว์สงขลา",สีแดงสดแต้มจุดสีฟ้าเล็กๆ ทั่วทั้งตัว เป็นปลานักล่าชั้นยอดและปลาเศรษฐกิจราคาแพง
17,ปลาคาร์พญี่ปุ่น / นิชิกิกอย,Koi (Common Carp),Cyprinus carpio,Actinopterygii,Cypriniformes,Cyprinidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Domesticated),VU ในธรรมชาติ / เลี้ยงทั่วไป,"สวนสัตว์เปิดเขาเขียว, สวนสัตว์เชียงใหม่, ซาฟารีเวิลด์",ปลาแฟนซีคาร์พหลากสีสัน (ขาว แดง ดำ ทอง) มีลานให้อาหารปลาคาร์พด้วยขวดนมเด็ก
18,ปลาฉลามกบ / ฉลามหิน,Brownbanded Bamboo Shark,Chiloscyllium punctatum,Chondrichthyes,Orectolobiformes,Hemiscylliidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),NT (ใกล้ถูกคุกคาม),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, สวนสัตว์สงขลา",ฉลามขนาดเล็ก ลายปล้องน้ำตาลสลับขาว มีกิจกรรมเพาะพันธุ์และปล่อยไข่ฉลามคืนสู่ธรรมชาติ
19,ปลาฉลามครีบดำ,Blacktip Reef Shark,Carcharhinus melanopterus,Chondrichthyes,Carcharhiniformes,Carcharhinidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา, โอเอซิส ซีเวิลด์",ปลายครีบหลังและครีบหางมีแต้มสีดำชัดเจน ว่ายลาดตระเวนตามแนวปะการังน้ำตื้นอย่างคล่องแคล่ว
20,ปลาฉลามพยาบาล,Tawny Nurse Shark,Nebrius ferrugineus,Chondrichthyes,Orectolobiformes,Ginglymostomatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ปากอยู่ด้านล่างมีหนวดคู่ช่วยคลำหาอาหาร ใช้แรงดูดมหาศาลในการดูดจับปูและปลาตามซอกหิน
21,ปลาฉลามเสือดาว,Zebra Shark (Leopard Shark),Stegostoma tigrinum,Chondrichthyes,Orectolobiformes,Stegostomatidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ลายจุดคล้ายเสือดาว ครีบหางยาวเกือบเท่าลำตัว นิสัยรักสงบนอนพักตามพื้นทรายในอุโมงค์น้ำ
22,ปลาฉลามหัวบาตร,Bull Shark,Carcharhinus leucas,Chondrichthyes,Carcharhiniformes,Carcharhinidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำระยอง",ลำตัวหนากำยำ หัวทู่กลม ปรับตัวว่ายเข้ามาหากินในเขตน้ำกร่อยและแม่น้ำน้ำจืดได้
23,ปลาเฉี่ยวหิน / ปลาเสือดาวทะเล,Silver Moony (Mono),Monodactylus argenteus,Actinopterygii,Perciformes,Monodactylidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, สวนสัตว์เปิดเขาเขียว",ลำตัวแบนรูปเพชรสีเงินแวววาว ครีบสีเหลืองสด อาศัยเป็นฝูงตามป่าชายเลนและปากแม่น้ำ
24,ปลาช่อนอเมซอน / อะราไพม่า,Arapaima (Pirarucu),Arapaima gigas,Actinopterygii,Osteoglossiformes,Arapaimidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),DD / CITES II,"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์, บึงฉวาก",ยักษ์ใหญ่แห่งแม่น้ำแอมะซอน ลำตัวยาวได้ถึง 3 เมตร เกล็ดหนาและแข็งแกร่งคล้ายชุดเกราะโบราณ หายใจด้วยกระเพาะลม
25,ปลาเซอร์เจียนลายแถบ / ปลาขี้ตังเบ็ด,Striped Surgeonfish,Acanthurus lineatus,Actinopterygii,Perciformes,Acanthuridae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",ลายเส้นสีฟ้าขอบดำสลับเหลืองส้มตลอดแนวยาวลำตัว โคนหางมีเงี่ยงพิษคมกริบ หวงอาณาเขต
26,ปลาดุกไฟฟ้า,Electric Catfish,Malapterurus electricus,Actinopterygii,Siluriformes,Malapteruridae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบางแสน",สามารถปล่อยกระแสไฟฟ้าได้แรงถึง 350-400 โวลต์ เพื่อช็อตเหยื่อและป้องกันตัว
27,ปลาเทพา,Chao Phraya Giant Catfish,Pangasius sanitwongsei,Actinopterygii,Siluriformes,Pangasiidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"Chiang Mai Zoo Aquarium, สวนสัตว์นครราชสีมา, พิพิธภัณฑ์สัตว์น้ำบางแสน",'ฉลามน้ำจืดเมืองไทย' ครีบหลังยื่นยาวเป็นกระโดงสูง ลำตัวสีเทาดำ ปราดเปรียวและกินเนื้อ
28,ปลาเทโพ,Blackear Catfish,Pangasius larnaudii,Actinopterygii,Siluriformes,Pangasiidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบึงฉวาก",มีแต้มสีดำกลมขนาดใหญ่เหนือครีบอกทั้งสองข้าง เนื้อนำมาทำแกงเทโพโบราณ
29,ปลาบลูแทงก์ / ดอรี่,Blue Tang (Palette Surgeonfish),Paracanthurus hepatus,Actinopterygii,Perciformes,Acanthuridae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า / ทะเลสากล,LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ลำตัวสีน้ำเงินสดสะดุดตา ปลายหางสีเหลือง โคนหางมีเงี่ยงคมคล้ายมีดผ่าตัดช่วยป้องกันตัว
30,ปลาบึก,Mekong Giant Catfish,Pangasianodon gigas,Actinopterygii,Siluriformes,Pangasiidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบางแสน, พิพิธภัณฑ์สัตว์น้ำหนองคาย",ปลาน้ำจืดไม่มีเกล็ดขนาดใหญ่ที่สุดในโลก อาศัยในลุ่มน้ำโขง หนักได้ถึง 300 กก. กินตะไคร่น้ำเป็นหลัก
31,ปลาปักเป้ากล่องเหลืองลายจุด,Yellow Boxfish,Ostracion cubicus,Actinopterygii,Tetraodontiformes,Ostraciidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",ลำตัวเป็นรูปทรงลูกบาศก์สีเหลืองสดใสแต้มจุดดำ ว่ายน้ำดุ๊กดิ๊กช้าๆ ปล่อยสารพิษออสทราซิโทซินเมื่อตกใจ
32,ปลาปักเป้าหนามทุเรียน,Porcupinefish,Diodon hystrix,Actinopterygii,Tetraodontiformes,Diodontidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",พองตัวกลมคล้ายลูกบอลพร้อมกางหนามแหลมคมทั่วตัวเมื่อตกใจ ฟันหลอมรวมเป็นแผ่นแข็งบดเปลือกหอย
33,ปลาเปคูแดง / ปลาจาระเม็ดน้ำจืด,Red-bellied Pacu,Piaractus brachypomus,Actinopterygii,Characiformes,Serrasalmidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว",รูปร่างคล้ายปลาปิรันยาแต่ฟันแบนคล้ายฟันมนุษย์ กินพืช ผลไม้ และเมล็ดพืชเป็นอาหารหลัก
34,ปลาผีเสื้อลายแปดเส้น,Eightband Butterflyfish,Chaetodon octofasciatus,Actinopterygii,Perciformes,Chaetodontidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, สวนสัตว์สงขลา",ลำตัวสีเหลืองนวลพาดด้วยแถบสีดำ 8 แถบ เป็นดัชนีชี้วัดความสมบูรณ์ของแนวปะการัง
35,ปลาพลวงชมพู / ปลากือเลาะห์,Mahseer (Thai Mahseer),Tor tambroides,Actinopterygii,Cypriniformes,Cyprinidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, ศูนย์วิจัยประมงน้ำจืดยะลา",ปลาพระราชทาน สัตว์น้ำประจำจังหวัดยะลา เกล็ดสีชมพูเหลือบเงินแวววาว อาศัยตามลำธารต้นน้ำป่าฮาลา-บาลา
36,ปลามังกรเงิน,Silver Arowana,Osteoglossum bicirrhosum,Actinopterygii,Osteoglossiformes,Osteoglossidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว, บึงฉวาก",ปลามังกรจากแอมะซอน ลำตัวยาวแบนสีเงินเหลือบประกาย กระโดดขึ้นเหนือน้ำเพื่อจับแมลงกิน
37,ปลายลโลว์แทงก์,Yellow Tang,Zebrasoma flavescens,Actinopterygii,Perciformes,Acanthuridae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า / ฮาวายและแปซิฟิก,LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบางแสน",สีเหลืองมะนาวสดใสทั่วทั้งตัว ปากแหลมยื่นสำหรับเล็มแทะตะไคร่น้ำตามซอกหินปะการัง
38,ปลาเรดเทลแคทฟิช,Redtail Catfish,Phractocephalus hemioliopterus,Actinopterygii,Siluriformes,Pimelodidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สวนสัตว์เปิดเขาเขียว, ซาฟารีเวิลด์",ปลาดุกยักษ์จากแอมะซอน ครีบหางสีส้มแดงสดใส มีหนวดยาว 3 คู่ ปากกว้างกินเหยื่อได้จุ
39,ปลาโรนันหัวจอบ,Giant Guitarfish,Glaucostegus typus,Chondrichthyes,Rhinopristiformes,Glaucostegidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",รูปร่างผสมระหว่างฉลามกับกระเบน หัวแบนกว้างเป็นรูปจอบ ลำตัวยาวเพรียวคล้ายฉลาม
40,ปลาโรนิน / ปลากระเบนปากแหลม,Bowmouth Guitarfish,Rhina ancylostoma,Chondrichthyes,Rhinopristiformes,Rhinidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",หัวกลมกว้างคล้ายคันธนู สันหลังมีหนามหนาเรียงเป็นแถว สัตว์ทะเลหายากใกล้สูญพันธุ์อย่างยิ่ง
41,ปลาวัวไททัน,Titan Triggerfish,Balistoides viridescens,Actinopterygii,Tetraodontiformes,Balistidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน,ปลาวัวขนาดใหญ่ที่สุดตามแนวปะการัง มีฟันคมแข็งแกร่ง หวงอาณาเขตรังวางไข่อย่างดุร้าย
42,ปลาวัวปิกัสโซ่,Lagoon Triggerfish (Picasso Triggerfish),Rhinecanthus aculeatus,Actinopterygii,Tetraodontiformes,Balistidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",ลวดลายและสีสันเรขาคณิตคล้ายภาพวาดศิลปะแนวแอบสแตรกต์ของปิกัสโซ่ กรามแข็งแรงกัดปูหอยแตก
43,ปลาเวียน,Blue Mahseer,Neolissochilus stracheyi,Actinopterygii,Cypriniformes,Cyprinidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, น้ำตกพลิ้ว จันทบุรี",อาศัยอยู่เป็นฝูงใหญ่อย่างเชื่องตามน้ำตก ลำตัวเพรียวยาว เกล็ดสีฟ้าครามหรือเขียวมะกอก
44,ปลาสิงโตปีกกว้าง,Red Lionfish,Pterois volitans,Actinopterygii,Scorpaeniformes,Scorpaenidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ครีบหลังและครีบอกแผ่กว้างคล้ายปีกนก มีก้านครีบพิษร้ายแรง ลวดลายแถบสีแดงสลับขาว
45,ปลาสินสมุทรจักรพรรดิ์,Emperor Angelfish,Pomacanthus imperator,Actinopterygii,Perciformes,Pomacanthidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ราชินีแห่งแนวปะการัง ลายเส้นสีเหลืองสลับฟ้าพาดตามยาว หน้ากากสีดำขอบฟ้า ลูกวัยอ่อนมีลายก้นหอยสีน้ำเงิน
46,ปลาเสือตอลายใหญ่,Siamese Tigerfish,Datnioides pulcher,Actinopterygii,Perciformes,Datnioididae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),CR (วิกฤติต่อการสูญพันธุ์อย่างยิ่ง),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบางแสน, บึงฉวาก",ปลาสวยงามในตำนานของไทย ลายพาดสีดำ 7 แถบคมชัดบนพื้นสีทอง หายากมากในธรรมชาติ
47,ปลาเสือพ่นน้ำ,Banded Archerfish,Toxotes jaculatrix,Actinopterygii,Perciformes,Toxotidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สวนสัตว์เปิดเขาเขียว, Chiang Mai Zoo Aquarium, สวนสัตว์สงขลา",พ่นลำน้ำออกจากปากได้อย่างแม่นยำสูงถึง 1.5 เมตร เพื่อยิงแมลงบนกิ่งไม้ให้ตกลงมาในน้ำ
48,ปลาหมอทะเล,Giant Grouper,Epinephelus lanceolatus,Actinopterygii,Perciformes,Serranidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),VU (มีแนวโน้มใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ปลากระดูกแข็งขนาดใหญ่ที่สุดตามแนวปะการัง ตัวยาวได้ถึง 2.7 เมตร หนักได้กว่า 400 กก.
49,ปลาหมอสีฟรอนโตซ่า,Frontosa Cichlid,Cyphotilapia frontosa,Actinopterygii,Perciformes,Cichlidae,สัตว์น้ำและปลา,สัตว์ต่างถิ่นนำเข้า (Exotic),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, พิพิธภัณฑ์สัตว์น้ำบางแสน",ปลาหมอสีทะเลสาบแทนแกนยิกา ลายแถบสีขาวสลับน้ำเงินเข้ม โหนกบนหัวใหญ่สง่างาม
50,ปลาหิน,Reef Stonefish,Synanceia verrucosa,Actinopterygii,Scorpaeniformes,Synanceiidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",พรางตัวแนบเนียนดุจก้อนหินใต้ทะเล ก้านครีบหลังมีต่อมพิษร้ายแรงที่สุดในบรรดาปลาทะเลทั้งหมด
51,ปลาไหลมอเรย์ยักษ์,Giant Moray,Gymnothorax javanicus,Actinopterygii,Anguilliformes,Muraenidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"Chiang Mai Zoo Aquarium, สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน",ปลาไหลมอเรย์ขนาดใหญ่ที่สุด ลายจุดแต้มสีน้ำตาลเข้ม ซ่อนตัวในถ้ำหินโผล่เฉพาะส่วนหัวมาอ้าปาก
52,ปลาไหลริบบิ้น,Ribbon Eel,Rhinomuraena quaesita,Actinopterygii,Anguilliformes,Muraenidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",ลำตัวเรียวยาวพริ้วไหวคล้ายริบบิ้น ปลายจมูกมีติ่งคล้ายใบไม้ สามารถเปลี่ยนเพศและสีตามช่วงวัย (ดำ ฟ้า เหลือง)
53,ปลาไหลสวนจุดดำ,Spotted Garden Eel,Heteroconger hassi,Actinopterygii,Anguilliformes,Congridae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),LC (มีความเสี่ยงต่ำ),"สถาบันวิทยาศาสตร์ทางทะเล ม.บูรพา บางแสน, Chiang Mai Zoo Aquarium",ฝังตัวในพื้นทรายโผล่ลำตัวขึ้นมาโยกย้ายตามกระแสน้ำคล้ายต้นไม้ในสวนเพื่อดักกินแพลงก์ตอน
54,ปลาอโรวาน่าเอเชีย / ปลามังกร,Asian Arowana,Scleropages formosus,Actinopterygii,Osteoglossiformes,Osteoglossidae,สัตว์น้ำและปลา,สัตว์ประจำถิ่นไทย (Native),EN (ใกล้สูญพันธุ์),"Chiang Mai Zoo Aquarium, สวนสัตว์นครราชสีมา, พิพิธภัณฑ์สัตว์น้ำบึงฉวาก",ปลาน้ำจืดโบราณ เกล็ดใหญ่เงางามคล้ายเกล็ดมังกร มีหนวดคู่ใต้คาง เสริมสิริมงคลและบารมี
